#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         518      1.5702     1.84823   0.0169883
         519     1.56663     1.84769   0.0169643
         520     1.56318     1.84714   0.0169405
         521     1.55984     1.84659   0.0169169
         522     1.55662     1.84603   0.0168936
         523     1.55353     1.84547   0.0168706
         524     1.55057     1.84491   0.0168478
         525     1.54772     1.84434   0.0168252
         526     1.54499     1.84377   0.0168028
         527     1.54237      1.8432   0.0167807
         528     1.53985     1.84263   0.0167587
         529     1.53742     1.84205    0.016737
         530     1.53508     1.84147   0.0167154
         531     1.53282     1.84089    0.016694
         532     1.53066     1.84031   0.0166728
         533     1.52858     1.83972   0.0166518
         534     1.52659     1.83914    0.016631
         535      1.5247     1.83855   0.0166103
         536     1.52292     1.83796   0.0165897
         537     1.52127     1.83737   0.0165693
         538     1.51976     1.83678    0.016549
         539      1.5184     1.83619   0.0165288
         540     1.51722      1.8356   0.0165088
         541     1.51623     1.83501   0.0164888
         542     1.51546     1.83442   0.0164689
         543     1.51492     1.83383   0.0164491
         544     1.51464     1.83324   0.0164293
         545     1.51462     1.83266   0.0164096
         546     1.51489     1.83208   0.0163898
         547     1.51545      1.8315   0.0163701
         548     1.51631     1.83092   0.0163503
         549      1.5175     1.83035   0.0163305
         550       1.519     1.82979   0.0163106
         551     1.52083     1.82922   0.0162907
         552     1.52298     1.82867   0.0162706
         553     1.52545     1.82812   0.0162504
         554     1.52823     1.82758   0.0162301
         555     1.53131     1.82705   0.0162096
         556     1.53469     1.82652    0.016189
         557     1.53836       1.826   0.0161682
         558     1.54228      1.8255   0.0161472
         559     1.54646       1.825    0.016126
         560     1.55088     1.82451   0.0161047
         561      1.5555     1.82403   0.0160831
         562     1.56033     1.82356   0.0160613
         563     1.56533      1.8231   0.0160393
         564     1.57049     1.82265   0.0160172
         565     1.57579     1.82221   0.0159948
         566     1.58121     1.82179   0.0159722
         567     1.58673     1.82137   0.0159494
         568     1.59233     1.82097   0.0159264
         569     1.59799     1.82058   0.0159032
         570      1.6037      1.8202   0.0158799
         571     1.60944     1.81983   0.0158564
         572      1.6152     1.81947   0.0158327
         573     1.62096     1.81912   0.0158088
         574     1.62671     1.81879   0.0157848
         575     1.63245     1.81847   0.0157607
         576     1.63816     1.81815   0.0157365
         577     1.64385     1.81785   0.0157121
         578      1.6495     1.81756   0.0156876
         579     1.65511     1.81728    0.015663
         580     1.66067     1.81701   0.0156383
         581      1.6662     1.81675   0.0156136
         582     1.67168      1.8165   0.0155887
         583     1.67712     1.81626   0.0155638
         584     1.68251     1.81603   0.0155389
         585     1.68786     1.81581   0.0155139
         586     1.69317      1.8156   0.0154888
         587     1.69843      1.8154   0.0154637
         588     1.70365     1.81521   0.0154386
         589     1.70881     1.81503   0.0154134
         590     1.71391     1.81486   0.0153882
         591     1.71895      1.8147   0.0153631
         592     1.72391     1.81455   0.0153379
         593     1.72879      1.8144   0.0153127
         594     1.73357     1.81427   0.0152875
         595     1.73824     1.81414   0.0152623
         596     1.74279     1.81402   0.0152372
         597     1.74719     1.81391   0.0152121
         598     1.75145      1.8138    0.015187
         599     1.75554      1.8137    0.015162
         600     1.75945     1.81361    0.015137
         601     1.76318     1.81353    0.015112
         602     1.76671     1.81345   0.0150871
         603     1.77005     1.81338   0.0150623
         604     1.77318     1.81331   0.0150375
         605     1.77611     1.81325   0.0150128
         606     1.77883      1.8132   0.0149881
         607     1.78135     1.81314   0.0149635
         608     1.78368     1.81309    0.014939
         609     1.78583     1.81305   0.0149145
         610      1.7878     1.81301   0.0148901
         611     1.78961     1.81297   0.0148658
         612     1.79127     1.81293   0.0148415
         613     1.79281      1.8129   0.0148174
         614     1.79423     1.81287   0.0147933
         615     1.79554     1.81284   0.0147692
         616     1.79678     1.81282   0.0147453
         617     1.79795     1.81279   0.0147214
         618     1.79906     1.81277   0.0146976
         619     1.80012     1.81275   0.0146739
         620     1.80115     1.81273   0.0146502
         621     1.80215     1.81271   0.0146266
         622     1.80313      1.8127   0.0146031
         623     1.80408     1.81269   0.0145797
         624     1.80501     1.81267   0.0145563
         625     1.80591     1.81266    0.014533
         626     1.80678     1.81265   0.0145098
         627     1.80762     1.81264   0.0144867
         628     1.80841     1.81264   0.0144636
         629     1.80915     1.81263   0.0144406
         630     1.80983     1.81263   0.0144177
         631     1.81044     1.81262   0.0143949
         632     1.81096     1.81262   0.0143721
         633     1.81138     1.81262   0.0143494
         634      1.8117     1.81262   0.0143267
         635     1.81191     1.81262   0.0143042
         636       1.812     1.81262   0.0142817
         637     1.81197     1.81262   0.0142593
         638     1.81181     1.81261   0.0142369
         639     1.81152     1.81261   0.0142146
         640     1.81111     1.81261   0.0141924
         641     1.81058     1.81261   0.0141703
         642     1.80993      1.8126   0.0141482
         643     1.80917      1.8126   0.0141262
         644     1.80831     1.81259   0.0141043
         645     1.80735     1.81258   0.0140824
         646     1.80632     1.81257   0.0140606
         647     1.80523     1.81256   0.0140389
         648     1.80409     1.81255   0.0140172
         649     1.80292     1.81253   0.0139956
         650     1.80173     1.81252   0.0139741
         651     1.80054      1.8125   0.0139527
         652     1.79935     1.81248   0.0139313
         653     1.79818     1.81246     0.01391
         654     1.79703     1.81243   0.0138887
         655     1.79592     1.81241   0.0138675
         656     1.79484     1.81238   0.0138464
         657      1.7938     1.81235   0.0138254
         658      1.7928     1.81232   0.0138044
         659     1.79184     1.81229   0.0137835
         660     1.79091     1.81226   0.0137626
         661        1.79     1.81223   0.0137419
         662     1.78912     1.81219   0.0137211
         663     1.78826     1.81215   0.0137005
         664      1.7874     1.81212   0.0136799
         665     1.78655     1.81208   0.0136594
         666      1.7857     1.81204   0.0136389
         667     1.78485       1.812   0.0136186
         668     1.78399     1.81196   0.0135982
         669     1.78313     1.81191    0.013578
         670     1.78226     1.81187   0.0135578
         671     1.78139     1.81182   0.0135377
         672     1.78053     1.81178   0.0135176
         673     1.77968     1.81173   0.0134976
         674     1.77886     1.81168   0.0134776
         675     1.77808     1.81163   0.0134578
         676     1.77735     1.81158    0.013438
         677     1.77669     1.81153   0.0134182
         678     1.77612     1.81148   0.0133985
         679     1.77565     1.81142   0.0133789
         680      1.7753     1.81137   0.0133593
         681     1.77509     1.81132   0.0133398
         682     1.77504     1.81126   0.0133204
         683     1.77517     1.81121    0.013301
         684     1.77548     1.81116   0.0132816
         685       1.776     1.81111   0.0132623
         686     1.77672     1.81106   0.0132431
         687     1.77767     1.81101   0.0132239
         688     1.77885     1.81096   0.0132048
         689     1.78025     1.81092   0.0131857
         690     1.78189     1.81088   0.0131666
         691     1.78376     1.81084   0.0131476
         692     1.78586      1.8108   0.0131287
