       BLOCK    VELOCITY ACTUAL_POFV    AVE_POFV       ERROR
          17      2.7269   0.0202611    0.018228  0.00124842
          17     2.86674  0.00542944  0.00915098  0.00117954
          17     3.00659  0.00466799  0.00541386 0.000656704
          17     3.14643 0.000728339  0.00252971 0.000437102
          17     3.28627           0  0.00108667 0.000325894
          17     3.42611           0 0.000422593   0.0001497
          17     3.56595           0 0.000340801 0.000195749
          17     3.70579           0 0.000163584  0.00011725
          17     3.84563           0 0.000183059 0.000177593
          17     3.98547           0 0.000101266 9.82429e-05
          17     4.12531           0           0           0
          18   0.0699206  0.00996501   0.0120893 0.000736424
          18    0.209762    0.111999   0.0844009  0.00277502
          18    0.349603    0.215357    0.202949  0.00391299
          18    0.489444    0.373605    0.368527   0.0052882
          18    0.629285    0.523146    0.522926  0.00613774
          18    0.769126    0.675634     0.66362   0.0066995
          18    0.908968    0.805146    0.752529  0.00489907
          18     1.04881    0.765419     0.78396  0.00547902
          18     1.18865    0.765584    0.764828  0.00823372
          18     1.32849    0.661266    0.691994  0.00691142
          18     1.46833    0.611573    0.600498  0.00462647
          18     1.60817    0.483651    0.495087  0.00391671
          18     1.74801    0.358972    0.386116  0.00477335
          18     1.88786    0.262335    0.283153   0.0049393
          18      2.0277    0.193705    0.202431  0.00389693
          18     2.16754    0.136762    0.134423  0.00206863
          18     2.30738   0.0853481   0.0851992  0.00184539
          18     2.44722   0.0528708   0.0497073  0.00206966
          18     2.58706    0.026452   0.0292145  0.00164356
          18      2.7269   0.0135736   0.0179694  0.00120554
          18     2.86674  0.00721718  0.00904355  0.00111889
          18     3.00659   0.0052308  0.00540369 0.000620299
          18     3.14643  0.00337685  0.00257678 0.000415345
          18     3.28627  0.00148979  0.00110906 0.000308557
          18     3.42611  0.00129115 0.000470846 0.000148957
          18     3.56595           0 0.000321867 0.000185787
          18     3.70579           0 0.000154496 0.000111088
          18     3.84563           0 0.000172889 0.000168018
          18     3.98547           0 9.56405e-05 9.29459e-05
          18     4.12531           0           0           0
          19   0.0699206  0.00986569   0.0119723 0.000706903
          19    0.209762   0.0947172   0.0849439  0.00268156
          19    0.349603    0.205988    0.203109  0.00371031
          19    0.489444    0.398038     0.37008    0.005233
          19    0.629285    0.561649    0.524964  0.00614377
          19    0.769126    0.666861    0.663791  0.00634907
          19    0.908968    0.764359    0.753152  0.00468063
