       BLOCK    DISTANCE ACTUAL_GOFR    AVE_GOFR       ERROR
           7     1.06446     2.57705     2.55065   0.0059859
           7     1.09011      2.5701     2.55551  0.00754954
           7     1.11576     2.38342     2.40357   0.0132983
           7     1.14141     2.19273     2.19098  0.00826949
           7     1.16706     1.99395      1.9884  0.00548601
           7     1.19271     1.74899      1.7499   0.0104932
           7     1.21836      1.5814     1.55594  0.00756736
           7     1.24401     1.36062     1.38616  0.00922603
           7     1.26966     1.20869     1.24255  0.00794543
           7     1.29531     1.12126     1.13005  0.00438052
           7     1.32096     1.02411      1.0296  0.00360554
           7     1.34661    0.936696    0.938882  0.00722388
           7     1.37226    0.858982    0.870051  0.00716792
           7     1.39791    0.801613    0.809748  0.00252379
           7     1.42355    0.743184     0.76591   0.0047818
           7      1.4492    0.724695    0.730128  0.00531928
           7     1.47485     0.72892    0.706478  0.00617844
           7      1.5005    0.713348    0.691749  0.00471117
           7     1.52615    0.676702    0.681302  0.00319637
           7      1.5518    0.651839    0.668995  0.00489333
           7     1.57745    0.665037    0.668443  0.00405342
           7      1.6031    0.676694    0.675457  0.00639441
           7     1.62875    0.674082     0.68108  0.00287819
           7      1.6544    0.709104    0.697088  0.00506279
           7     1.68005    0.743399    0.726999  0.00543173
           7      1.7057    0.751946    0.754707  0.00325695
           7     1.73135    0.793832    0.783731  0.00469409
           7       1.757    0.837223    0.818982  0.00473479
           7     1.78265    0.867211    0.851626  0.00490836
           7      1.8083    0.895516    0.897571  0.00423033
           7     1.83395    0.937927    0.944637  0.00318401
           7      1.8596     0.98088    0.979985  0.00417169
           7     1.88525     1.01809     1.02034  0.00317801
           7      1.9109     1.05265     1.06194  0.00387078
           7     1.93655     1.08107      1.0948  0.00388954
           7      1.9622     1.11906     1.12858  0.00507838
           7     1.98785     1.17268     1.16568   0.0045977
