#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         611       -0.28   -0.468936  0.00497728
         612       -0.52    -0.46902  0.00496985
         613       -0.52   -0.469103  0.00496244
         614       -0.52   -0.469186  0.00495505
         615       -0.44   -0.469138  0.00494722
         616       -0.36   -0.468961  0.00494236
         617       -0.36   -0.468784   0.0049375
         618       -0.36   -0.468608  0.00493265
         619       -0.44   -0.468562   0.0049249
         620       -0.36   -0.468387  0.00492007
         621       -0.36   -0.468213  0.00491524
         622       -0.28    -0.46791  0.00491664
         623       -0.28   -0.467608  0.00491799
         624       -0.36   -0.467436  0.00491313
         625       -0.28   -0.467136  0.00491442
         626       -0.44   -0.467093  0.00490676
         627       -0.52   -0.467177  0.00489966
         628       -0.52   -0.467261  0.00489258
         629        -0.6   -0.467472  0.00488935
         630       -0.44   -0.467429  0.00488178
         631       -0.44   -0.467385  0.00487424
         632        -0.6   -0.467595  0.00487104
         633       -0.44   -0.467551  0.00486354
         634        -0.6    -0.46776  0.00486035
         635       -0.52   -0.467843   0.0048534
         636       -0.44   -0.467799  0.00484596
         637       -0.52   -0.467881  0.00483905
         638       -0.52   -0.467962  0.00483215
         639       -0.52   -0.468044  0.00482528
         640       -0.36   -0.467875  0.00482069
         641       -0.28   -0.467582  0.00482207
         642       -0.52   -0.467664  0.00481525
         643       -0.36   -0.467496  0.00481067
         644       -0.44   -0.467453  0.00480339
         645       -0.28   -0.467163  0.00480473
         646       -0.36   -0.466997  0.00480015
         647       -0.28   -0.466708  0.00480143
         648       -0.36   -0.466543  0.00479684
         649       -0.28   -0.466256  0.00479805
         650       -0.52   -0.466338  0.00479138
         651       -0.52   -0.466421  0.00478473
         652        -0.6   -0.466626  0.00478178
         653        -0.6    -0.46683  0.00477882
         654       -0.44   -0.466789  0.00477169
         655        -0.6   -0.466992  0.00476873
         656       -0.44   -0.466951  0.00476164
         657        -0.2   -0.466545   0.0047717
         658       -0.28   -0.466261  0.00477286
         659       -0.44   -0.466222  0.00476578
         660        -0.6   -0.466424  0.00476287
         661       -0.36   -0.466263  0.00475839
         662        -0.6   -0.466465  0.00475548
         663       -0.36   -0.466305  0.00475102
         664       -0.44   -0.466265  0.00474403
         665       -0.44   -0.466226  0.00473706
         666       -0.12   -0.465706  0.00475839
         667       -0.44   -0.465667  0.00475141
         668        -0.6   -0.465868  0.00474855
         669       -0.52   -0.465949  0.00474214
         670       -0.36   -0.465791   0.0047377
         671       -0.44   -0.465753   0.0047308
         672        -0.6   -0.465952  0.00472797
         673        -0.6   -0.466152  0.00472514
         674       -0.52   -0.466231  0.00471881
         675       -0.52   -0.466311  0.00471249
         676        -0.6   -0.466509  0.00470967
         677        -0.6   -0.466706  0.00470683
         678       -0.76   -0.467139  0.00471973
         679       -0.52   -0.467216  0.00471342
         680       -0.52   -0.467294  0.00470713
         681       -0.52   -0.467372  0.00470085
         682       -0.52   -0.467449  0.00469459
         683       -0.28   -0.467174  0.00469573
         684       -0.52   -0.467251   0.0046895
         685        -0.6   -0.467445  0.00468666
         686       -0.44   -0.467405     0.00468
         687       -0.44   -0.467365  0.00467336
         688       -0.52   -0.467442  0.00466719
         689       -0.36   -0.467286  0.00466302
         690       -0.44   -0.467246  0.00465643
         691       -0.36   -0.467091  0.00465228
         692        -0.6   -0.467283  0.00464952
